school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,zip
2018-19,0000_1652,Academy of Excellence,Private,57.6,Meets Few Expectations,879,53204
2018-19,0000_1263,Atlas Preparatory Academy,Private,56.5,Meets Few Expectations,696,53207
2018-19,0000_1301,Atonement Lutheran School,Private,79,Exceeds Expectations,364,53209
2018-19,0000_1303,Believers in Christ Acad,Private,67.9,Meets Expectations,216,53209
2018-19,0000_1304,Blessed Sacrament Grade Sch,Private,83.6,Significantly Exceeds Expectations,174,53215
2018-19,0000_1507,Blessed Savior Catholic Sch,Private,84.4,Significantly Exceeds Expectations,489,53218
2018-19,0000_1382,Carter's Christian Academy,Private,55.3,Meets Few Expectations,264,53209
2018-19,0000_0309,Catholic East Elementary,Private,74.5,Exceeds Expectations,196,53202
2018-19,0000_1743,CERT School,Private,NA,NR-DATA,15,53233
2018-19,0000_1305,Christ-St Peter Lutheran Sch,Private,73.6,Exceeds Expectations,161,53204
2018-19,0000_1384,Christian Faith Acad Hi Lrng,Private,58.6,Meets Few Expectations^,58,53206
2018-19,0000_1776,City School,Private,NA,NR-DATA,156,53223
2018-19,0000_1044,Clara Mohammed School,Private,66.3,Meets Expectations^,190,53212
2018-19,0000_1489,Cross Trainers Academy,Private,62,Meets Few Expectations,335,53206
2018-19,0000_1712,Cristo Rey Jesuit Milwaukee Hi,Private,71.6,Meets Expectations,369,53214
2018-19,0000_1491,Destiny High,Private,56.3,Meets Few Expectations,255,53223
2018-19,0000_1702,Divine Destiny School,Private,62.5,Meets Few Expectations,55,53206
2018-19,0000_0510,Divine Savior Holy Angels Hi,Private,88.7,Significantly Exceeds Expectations,108,53222
2018-19,0000_1158,Early View Acad of Excellence,Private,46.9,Fails to Meet Expectations,330,53223
2018-19,0000_1218,Eastbrook Academy,Private,88.3,Significantly Exceeds Expectations,158,53209
2018-19,0000_0740,Garden Homes Lutheran School,Private,81.3,Exceeds Expectations,247,53209
2018-19,0000_1165,Granville Lutheran School,Private,87.7,Significantly Exceeds Expectations,264,53224
2018-19,0000_1345,Greater Holy Temple Chr Acad,Private,68.6,Meets Expectations^,616,53218
2018-19,0000_1180,Holy Redeemer Christian Acad,Private,45.8,Fails to Meet Expectations,172,53209
2018-19,0000_2850,Holy Wisdom Academy,Private,68,Meets Expectations,230,53215
2018-19,0000_1408,Hope Christian High,Private,59.1,Meets Few Expectations,278,53212
2018-19,0000_1703,Hope Christian Sch: Caritas,Private,85.1,Significantly Exceeds Expectations^,433,53224
2018-19,0000_1729,Hope Christian Sch: Fidelis,Private,80.2,Exceeds Expectations^,404,53209
2018-19,0000_1439,Hope Christian School: Fortis,Private,71.9,Meets Expectations^,506,53212
2018-19,0000_1315,Hope Christian School: Prima,Private,80.5,Exceeds Expectations^,570,53206
2018-19,0000_1656,Hope Christian School: Semper,Private,80.1,Exceeds Expectations^,387,53216
2018-19,0000_1527,Inst of Technology & Academics,Private,67.6,Meets Expectations,312,53224
2018-19,0000_1684,Jo's Learning Academy,Private,NA,NR-DATA,50,53208
2018-19,0000_1221,King's Academy Christian Sch,Private,83.8,Significantly Exceeds Expectations^,209,53223
2018-19,0000_1374,Malaika Early Learning Center,Private,NA,NR-DATA,59,53212
2018-19,0000_1770,Marquette University High,Private,87.9,Significantly Exceeds Expectations,133,53208
2018-19,0000_1606,Messmer Catholic Schools,Private,73.1,Exceeds Expectations,1518,53206
2018-19,0000_1870,Milwaukee Lutheran High,Private,45.5,Fails to Meet Expectations^,716,53222
2018-19,0000_1774,Kingdom Prep Lutheran Hi,Private,NA,NR-DATA,50,53213
2018-19,0000_1873,Milw Seventh Day Adventist Sch,Private,71.7,Meets Expectations,178,53225
2018-19,0000_1910,Mother of Good Counsel Gr Sch,Private,82.1,Exceeds Expectations,221,53210
2018-19,0000_1930,Mount Calvary Lutheran Gr Sch,Private,65.5,Meets Expectations,187,53210
2018-19,0000_1980,Mount Lebanon Lutheran School,Private,88.9,Significantly Exceeds Expectations,170,53218
2018-19,0000_1990,Mount Olive Lutheran Grade Sch,Private,77.1,Exceeds Expectations,145,53208
2018-19,0000_1996,Nativity Jesuit Academy,Private,88.9,Significantly Exceeds Expectations^,248,53215
2018-19,0000_1327,New Testament Christian Acad,Private,63.6,Meets Expectations,143,53224
2018-19,0000_1575,Northwest Catholic,Private,77.5,Exceeds Expectations,193,53209
2018-19,0000_2030,Northwest Lutheran Grade Sch,Private,57.5,Meets Few Expectations^,220,53222
2018-19,0000_1095,Notre Dame Sch of Milwaukee,Private,87.5,Significantly Exceeds Expectations,472,53204
2018-19,0000_2240,Our Lady Queen of Peace Gr Sch,Private,77.1,Exceeds Expectations,160,53215
2018-19,0000_2300,Pius XI Catholic High,Private,71.4,Meets Expectations,444,53213
2018-19,0000_1205,Prince of Peace School,Private,82.8,Exceeds Expectations^,440,53204
2018-19,0000_1530,Right Step Inc,Private,53.6,Meets Few Expectations,91,53223
2018-19,0000_1351,Risen Savior Evan Luth Sch,Private,79.8,Exceeds Expectations,231,53224
2018-19,0000_2750,Saint Adalbert Catholic Sch,Private,86.6,Significantly Exceeds Expectations^,395,53215
2018-19,0000_3100,Saint Anthony School,Private,67.8,Meets Expectations,1726,53204
2018-19,0000_1745,Saint Augustine Preparatory Ac,Private,76.8,Exceeds Expectations,883,53207
2018-19,0000_3410,Saint Catherine School,Private,57.2,Meets Few Expectations,138,53210
2018-19,0000_3455,Saint Charles Borromeo Cath,Private,90.8,Significantly Exceeds Expectations,118,53221
2018-19,0000_3580,Saint Coletta Day Sch of Milw,Private,NA,NR-DATA,1,53208
2018-19,0000_3935,Saint Gregory the Great Parish,Private,78.6,Exceeds Expectations,209,53219
2018-19,0000_4210,Saint Joan Antida High,Private,69.9,Meets Expectations,156,53202
2018-19,0000_4655,Saint Johns Evang Lutheran Sch,Private,89.9,Significantly Exceeds Expectations,206,53220
2018-19,0000_4950,Saint Josaphat Parish School,Private,73.5,Exceeds Expectations,208,53215
2018-19,0000_8224,Saint Joseph Academy,Private,76.2,Exceeds Expectations,459,53215
2018-19,0000_5640,Saint Lucas Lutheran School,Private,78.8,Exceeds Expectations,109,53207
2018-19,0000_5710,Saint Marcus Lutheran School,Private,84.2,Significantly Exceeds Expectations^,712,53212
2018-19,0000_5720,Saint Margaret Mary Grade Sch,Private,54.7,Meets Few Expectations,161,53222
2018-19,0000_5830,Saint Martini Lutheran Gr Sch,Private,79.1,Exceeds Expectations,178,53204
2018-19,0000_6690,Saint Matthias School,Private,70.6,Meets Expectations,4,53227
2018-19,0000_7400,Saint Peter Immanuel Luth Sch,Private,73.5,Exceeds Expectations^,119,53223
2018-19,0000_1302,Saint Philips Lutheran School,Private,82,Exceeds Expectations,152,53212
2018-19,0000_1200,Saint Rafael the Archangel,Private,86.9,Significantly Exceeds Expectations^,288,53215
2018-19,0000_7670,Saint Roman Grade School,Private,75.7,Exceeds Expectations,277,53221
2018-19,0000_7720,Saint Sebastian Grade School,Private,88.1,Significantly Exceeds Expectations,154,53208
2018-19,0000_7980,Saint Thomas Aquinas Academy,Private,80.1,Exceeds Expectations,155,53207
2018-19,0000_3160,Saint Vincent Pallotti School,Private,67.3,Meets Expectations^,170,53213
2018-19,0000_8075,Salam School,Private,74.7,Exceeds Expectations,758,53221
2018-19,0000_8080,Salem Lutheran School,Private,77.5,Exceeds Expectations,160,53224
2018-19,0000_1704,Shining Star Christian Schools,Private,67.6,Meets Expectations,351,53222
2018-19,0000_8217,Siloah Lutheran School,Private,54,Meets Few Expectations,105,53206
2018-19,0000_1048,Tamarack Waldorf School,Private,79.7,Exceeds Expectations^,210,53202
2018-19,0000_8379,Torah Academy of Milwaukee,Private,NA,NR-DATA,24,53209
2018-19,0000_1631,TransCenter for Youth/ElPuente,Private,64,Meets Expectations^,90,53215
2018-19,0000_1627,Wells Street Academy,Private,NA,NR-DATA,9,53233
2018-19,0000_8720,Wisconsin Lutheran High,Private,76.1,Exceeds Expectations,445,53213
2018-19,0000_0320,Word of Life Lutheran School,Private,85.2,Significantly Exceeds Expectations,71,53221
2018-19,0000_8740,Yeshiva Elementary,Private,67.6,Meets Expectations,201,53216
2018-19,8123_0100,Bruce Guadalupe,2r/2x Charter,78.3,Exceeds Expectations,1310,53204
2018-19,8105_1211,Central City Cyberschool,2r/2x Charter,68.6,Meets Expectations,412,53216
2018-19,8109_0100,Darrell Lynn Hines Academy,2r/2x Charter,75.6,Exceeds Expectations^,276,53224
2018-19,8101_1056,Downtown Montessori,2r/2x Charter,88.4,Significantly Exceeds Expectations,299,53207
2018-19,8131_0400,Escuela Verde,2r/2x Charter,60.4,Meets Few Expectations^,120,53215
2018-19,3619_0316,Academy of Accelerated Learning,Traditional Public,83.5,Significantly Exceeds Expectations,627,53220
2018-19,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,71.2,Meets Expectations,511,53215
2018-19,3619_0075,Alcott Elementary,Traditional Public,63.1,Meets Expectations,307,53228
2018-19,3619_0073,Allen-Field Elementary,Traditional Public,74.7,Exceeds Expectations,590,53204
2018-19,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,54.5,Meets Few Expectations^,203,53205
2018-19,3619_1063,ASSATA High,Partnership,NA,Alternate Rating - Needs Improvement,95,53209
2018-19,3619_0434,Audubon Technology and Communication High,Traditional Public,52.7,Fails to Meet Expectations,387,53215
2018-19,3619_0041,Audubon Technology and Communication Middle,Traditional Public,50.7,Fails to Meet Expectations,528,53215
2018-19,3619_0077,Auer Avenue Elementary,Traditional Public,56,Meets Few Expectations,275,53206
2018-19,3619_0432,Banner Preparatory School of Milwaukee,Partnership,NA,Alternate Rating - Satisfactory Progress,58,53209
2018-19,3619_0188,Barbee Elementary,Traditional Public,54,Meets Few Expectations,333,53209
2018-19,3619_0081,Barton Elementary,Traditional Public,64.5,Meets Expectations,264,53223
2018-19,3619_0012,Bay View High,Traditional Public,43.5,Fails to Meet Expectations,938,53207
2018-19,3619_0112,Bay View Montessori School,Traditional Public,74,Exceeds Expectations,300,53207
2018-19,3619_0356,Bethune Academy,Traditional Public,65.3,Meets Expectations,602,53208
2018-19,3619_0014,Bradley Technology High,Traditional Public,50.1,Fails to Meet Expectations^,1002,53204
2018-19,3619_0089,Brown Street Academy,Traditional Public,60,Meets Few Expectations,316,53205
2018-19,3619_0092,Browning Elementary,Traditional Public,48.8,Fails to Meet Expectations,339,53218
2018-19,3619_0093,Bruce Elementary,Traditional Public,52.4,Fails to Meet Expectations,256,53224
2018-19,3619_0094,Bryant Elementary,Traditional Public,73.4,Exceeds Expectations^,221,53225
2018-19,3619_0095,Burbank Elementary,Traditional Public,69,Meets Expectations,607,53214
2018-19,3619_0098,Burdick Elementary,Traditional Public,73.8,Exceeds Expectations,629,53207
2018-19,3619_0407,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,88.7,Significantly Exceeds Expectations^,396,53215
2018-19,3619_0451,Carmen High School of Science and Technology Southeast Campus,Non-Instrumentality Charter,64,Meets Expectations,545,53215
2018-19,3619_0213,Carmen Middle School of Science and Technology South Campus,Non-Instrumentality Charter,NA,Alternate Rating - Satisfactory Progress,68,53215
2018-19,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,68.9,Meets Expectations^,666,53218
2018-19,3619_0108,Carson Academy,Traditional Public,55.5,Meets Few Expectations,467,53216
2018-19,3619_0178,Carver Academy,Traditional Public,68.3,Meets Expectations^,407,53212
2018-19,3619_0104,Cass Street Elementary,Traditional Public,57.5,Meets Few Expectations,416,53202
2018-19,3619_0110,Clarke Street Elementary,Traditional Public,55.4,Meets Few Expectations^,299,53210
2018-19,3619_0114,Clemens Elementary,Traditional Public,70.4,Meets Expectations,316,53216
2018-19,3619_0113,Clement Avenue Elementary,Traditional Public,62.3,Meets Few Expectations,423,53207
2018-19,3619_0116,Congress Elementary,Traditional Public,67.3,Meets Expectations,749,53218
2018-19,3619_0117,Cooper Elementary,Traditional Public,83.1,Significantly Exceeds Expectations,465,53221
2018-19,3619_0501,Craig Montessori School,Traditional Public,64.9,Meets Expectations^,363,53218
2018-19,3619_0122,Curtin Elementary,Traditional Public,69.6,Meets Expectations,324,53215
2018-19,3619_0820,Daniels University Preparatory Academy,Non-Instrumentality Charter,52.1,Fails to Meet Expectations,178,53209
2018-19,3619_0125,Doerfler Elementary,Traditional Public,59.3,Meets Few Expectations,613,53215
2018-19,3619_0143,Eighty-First Street Elementary,Traditional Public,58.3,Meets Few Expectations,365,53222
2018-19,3619_0148,Elm Creative Arts Elementary,Traditional Public,39.8,Fails to Meet Expectations,346,53205
2018-19,3619_0150,Emerson Elementary,Traditional Public,53.2,Meets Few Expectations,255,53225
2018-19,3619_0152,Engleburg Elementary,Traditional Public,69.3,Meets Expectations^,297,53225
2018-19,3619_0155,Fairview Elementary,Traditional Public,76.4,Exceeds Expectations,673,53219
2018-19,3619_0158,Fernwood Montessori,Traditional Public,73.8,Exceeds Expectations,784,53207
2018-19,3619_0170,Fifty-Third Street Elementary,Traditional Public,59.6,Meets Few Expectations,417,53216
2018-19,3619_0173,Forest Home Elementary,Traditional Public,62.1,Meets Few Expectations,698,53204
2018-19,3619_0179,Franklin Elementary,Traditional Public,60.6,Meets Few Expectations,376,53206
2018-19,3619_0182,Fratney Elementary,Traditional Public,61.1,Meets Few Expectations,489,53212
2018-19,3619_0185,Gaenslen Elementary,Traditional Public,51.4,Fails to Meet Expectations,725,53212
2018-19,3619_0191,Garland Elementary,Traditional Public,75.9,Exceeds Expectations,630,53221
2018-19,3619_0192,Goodrich Elementary,Traditional Public,59.7,Meets Few Expectations,354,53224
2018-19,3619_0410,Grandview High,Partnership,NA,Alternate Rating - Satisfactory Progress,227,53215
2018-19,3619_0193,Grant Elementary,Traditional Public,71.8,Meets Expectations,657,53215
2018-19,3619_0196,Grantosa Drive Elementary,Traditional Public,60.8,Meets Few Expectations,583,53218
2018-19,3619_0202,Greenfield Bilingual,Traditional Public,65.3,Meets Expectations,634,53215
2018-19,3619_0236,Groppi High,Traditional Public,NA,Alternate Rating - Needs Improvement,92,53208
2018-19,3619_0018,Hamilton High,Traditional Public,49.4,Fails to Meet Expectations^,1545,53220
2018-19,3619_0205,Hampton Elementary,Traditional Public,76.9,Exceeds Expectations,234,53218
2018-19,3619_0880,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,81.4,Exceeds Expectations,1708,53225
2018-19,3619_0208,Hartford Avenue Elementary,Traditional Public,57.5,Meets Few Expectations,642,53211
2018-19,3619_0211,Hawley Environmental School,Traditional Public,61.7,Meets Few Expectations,376,53213
2018-19,3619_0212,Hawthorne Elementary,Traditional Public,56.2,Meets Few Expectations,287,53209
2018-19,3619_0214,Hayes Bilingual School,Traditional Public,81.9,Exceeds Expectations,667,53204
2018-19,3619_0217,Hi-Mount Elementary,Traditional Public,58.9,Meets Few Expectations,211,53208
2018-19,3619_0852,Highland Community School,Non-Instrumentality Charter,68.4,Meets Expectations,415,53233
2018-19,3619_0218,Holmes Elementary,Traditional Public,61.6,Meets Few Expectations,309,53212
2018-19,3619_0334,Honey Creek Elementary,Instrumentality Charter,64.5,Meets Expectations,417,53220
2018-19,3619_0253,Hopkins Lloyd Community School,Traditional Public,61,Meets Few Expectations,240,53206
2018-19,3619_0223,Humboldt Park Elementary,Traditional Public,74.3,Exceeds Expectations,604,53207
2018-19,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,69.4,Meets Expectations,287,53221
2018-19,3619_0377,Jackson Elementary,Traditional Public,48.1,Fails to Meet Expectations,308,53206
2018-19,3619_0409,James Madison Academic Campus,Traditional Public,29.4,Fails to Meet Expectations,779,53218
2018-19,3619_0232,Kagel Elementary,Traditional Public,73.5,Exceeds Expectations,263,53204
2018-19,3619_0235,Keefe Avenue Elementary,Traditional Public,51.2,Fails to Meet Expectations,166,53206
2018-19,3619_0237,Kilbourn Elementary,Traditional Public,67,Meets Expectations,315,53218
2018-19,3619_0020,King International,Traditional Public,69.3,Meets Expectations,1546,53209
2018-19,3619_0210,King International Baccalaureate Middle,Traditional Public,54.8,Meets Few Expectations,440,53212
2018-19,3619_0199,King Jr Elementary,Traditional Public,71.3,Meets Expectations^,290,53212
2018-19,3619_0337,Kluge Elementary,Traditional Public,65.1,Meets Expectations,323,53218
2018-19,3619_1121,La Causa Charter School,Non-Instrumentality Charter,77,Exceeds Expectations,778,53204
2018-19,3619_0296,Lad Lake Synergy School,Partnership,NA,Alternate Rating - Needs Improvement,45,53215
2018-19,3619_0238,LaFollette Elementary,Traditional Public,59.3,Meets Few Expectations,265,53206
2018-19,3619_0241,Lancaster Elementary,Traditional Public,38.9,Fails to Meet Expectations,319,53218
2018-19,3619_0250,Lincoln Avenue Elementary,Traditional Public,65.2,Meets Expectations,503,53215
2018-19,3619_0006,Lincoln Middle,Traditional Public,58.1,Meets Few Expectations,648,53202
2018-19,3619_0256,Longfellow Elementary,Traditional Public,67,Meets Expectations,866,53204
2018-19,3619_0257,Lowell International Elementary,Traditional Public,60.1,Meets Few Expectations,249,53221
2018-19,3619_0870,MacDowell Montessori School K3-12,Traditional Public,62.1,Meets Few Expectations,823,53213
2018-19,3619_0265,Manitoba Elementary,Traditional Public,59.7,Meets Few Expectations,521,53215
2018-19,3619_0267,Maple Tree Elementary,Traditional Public,61,Meets Few Expectations^,291,53224
2018-19,0000_2291,Pilgrim Lutheran School,Private,89.9,Significantly Exceeds Expectations,214,53210
2018-19,3619_0008,Marshall High,Traditional Public,45.3,Fails to Meet Expectations^,865,53216
2018-19,3619_0268,Maryland Montessori,Traditional Public,79.9,Exceeds Expectations,456,53211
2018-19,3619_0176,Meir School,Traditional Public,75.2,Exceeds Expectations,1162,53212
2018-19,3619_0525,Metcalfe Elementary,Traditional Public,62.1,Meets Few Expectations,286,53208
2018-19,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,71.7,Meets Expectations^,441,53233
2018-19,3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,Non-Instrumentality Charter,73.6,Exceeds Expectations,506,53210
2018-19,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,83.5,Significantly Exceeds Expectations,506,53210
2018-19,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,80.9,Exceeds Expectations,501,53205
2018-19,3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,76.5,Exceeds Expectations,489,53205
2018-19,3619_0315,Milwaukee County Youth Education Center,Traditional Public,NA,Alternate Rating - Needs Improvement,22,53233
2018-19,3619_0118,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,76.2,Exceeds Expectations,414,53216
2018-19,3619_0885,Milwaukee Excellence Charter School,Non-Instrumentality Charter,89.5,Significantly Exceeds Expectations,325,53209
2018-19,3619_0140,Milwaukee French Immersion,Traditional Public,70.8,Meets Expectations,637,53210
2018-19,3619_0146,Milwaukee German Immersion,Traditional Public,79.3,Exceeds Expectations,594,53222
2018-19,3619_0038,Milwaukee High School of the Arts,Traditional Public,55.1,Meets Few Expectations,884,53233
2018-19,3619_0362,Milwaukee Parkside School,Traditional Public,81,Exceeds Expectations^,812,53207
2018-19,3619_0071,Milwaukee School of Languages,Traditional Public,63.8,Meets Expectations,1182,53222
2018-19,3619_0226,Milwaukee Sign Language Elementary,Traditional Public,67.5,Meets Expectations,593,53223
2018-19,3619_0167,Milwaukee Spanish Immersion,Traditional Public,66.7,Meets Expectations,728,53219
2018-19,3619_0274,Mitchell Elementary,Traditional Public,59.7,Meets Few Expectations,680,53204
2018-19,3619_0277,Morgandale Elementary,Traditional Public,70.8,Meets Expectations,577,53221
2018-19,3619_0052,Morse Mid,Traditional Public,54.2,Meets Few Expectations,395,53223
2018-19,3619_0283,Neeskara Elementary,Traditional Public,63.3,Meets Expectations,386,53208
2018-19,3619_0289,Ninety-Fifth Street Elementary,Traditional Public,63.4,Meets Expectations,409,53222
2018-19,3619_0419,North Division High 0419,Traditional Public,27.4,Fails to Meet Expectations,348,53206
2018-19,3619_1072,NOVA-Northwest Opportunities Vocational Academy,Partnership,NA,Alternate Rating - Needs Improvement,112,53206
2018-19,3619_0840,Obama School of Career and Technical Education,Traditional Public,33.8,Fails to Meet Expectations,664,53209
2018-19,3619_0301,Parkview Elementary,Traditional Public,84.9,Significantly Exceeds Expectations,394,53225
2018-19,3619_0325,Pratt Elementary,Traditional Public,92.2,Significantly Exceeds Expectations^,292,53209
2018-19,3619_0458,Project STAY-Supporting Teachers and Youth,Traditional Public,NA,Alternate Rating - Needs Improvement,203,53233
2018-19,3619_0026,Pulaski High,Traditional Public,33.1,Fails to Meet Expectations,841,53215
2018-19,3619_0435,Reagan College Preparatory High,Traditional Public,82.3,Exceeds Expectations,1352,53221
2018-19,3619_0313,Riley Elementary,Traditional Public,63,Meets Expectations,477,53207
2018-19,3619_0194,River Trail Elementary,Traditional Public,60.1,Meets Few Expectations,405,53225
2018-19,3619_0029,Riverside High,Traditional Public,48.8,Fails to Meet Expectations,1496,53211
2018-19,3619_0307,Riverwest Elementary,Traditional Public,51.6,Fails to Meet Expectations,349,53212
2018-19,3619_0177,Rogers Street Academy,Traditional Public,69.8,Meets Expectations,657,53204
2018-19,3619_0059,Roosevelt Middle,Traditional Public,60.9,Meets Few Expectations,345,53205
2018-19,3619_1074,Shalom High,Partnership,NA,Alternate Rating - Needs Improvement,100,53205
2018-19,3619_0319,Sherman Elementary,Traditional Public,51.8,Fails to Meet Expectations,356,53210
2018-19,3619_0107,Siefert Elementary,Traditional Public,61.8,Meets Few Expectations,319,53205
2018-19,3619_0442,South Accelerated Academy,Traditional Public,NA,Alternate Rating - Needs Improvement,61,53204
2018-19,3619_0032,South Division High,Traditional Public,43.3,Fails to Meet Expectations^,934,53204
2018-19,3619_1086,Southeastern,Partnership,NA,Alternate Rating - Needs Improvement,19,53212
2018-19,3619_0312,Starms Discovery,Traditional Public,63.8,Meets Expectations,320,53205
2018-19,3619_0343,Story Elementary,Traditional Public,57,Meets Few Expectations,437,53208
2018-19,3619_0344,Stuart Elementary,Traditional Public,66.1,Meets Expectations,320,53224
2018-19,3619_0360,Thoreau Elementary,Traditional Public,58.5,Meets Few Expectations,471,53223
2018-19,3619_0154,Thurston Woods Elementary,Traditional Public,64.1,Meets Expectations,411,53209
2018-19,3619_0365,Townsend Street Elementary,Traditional Public,55.1,Meets Few Expectations,320,53216
2018-19,3619_0433,Transition High,Traditional Public,NA,Alternate Rating - Satisfactory Progress,165,53208
2018-19,3619_0368,Trowbridge Street School of Great Lakes Studies,Traditional Public,66.7,Meets Expectations,248,53207
2018-19,3619_0387,Victory Elementary,Traditional Public,76.3,Exceeds Expectations,554,53221
2018-19,3619_0390,Vieau Elementary,Traditional Public,71.8,Meets Expectations,739,53204
2018-19,3619_0448,Vincent Accelerated Academy,Traditional Public,NA,Alternate Rating - Satisfactory Progress,35,53224
2018-19,3619_0033,Vincent High,Traditional Public,44.2,Fails to Meet Expectations^,778,53224
2018-19,3619_0204,Wedgewood Park School,Traditional Public,73.7,Exceeds Expectations,907,53220
2018-19,3619_0130,Westside Academy,Traditional Public,54.4,Meets Few Expectations,214,53208
2018-19,3619_0397,Whitman Elementary,Traditional Public,72.6,Meets Expectations,412,53220
2018-19,3619_0398,Whittier Elementary,Instrumentality Charter,76.5,Exceeds Expectations,213,53207
2018-19,3619_0424,WHS Information Technology,Traditional Public,44.5,Fails to Meet Expectations^,632,53210
2018-19,3619_0399,Wisconsin Conservatory of Lifelong Learning,Traditional Public,36.1,Fails to Meet Expectations,625,53233
2018-19,3619_0295,Zablocki Elementary,Traditional Public,64.7,Meets Expectations,330,53215
2018-19,8106_1251,Milwaukee Academy of Science,2r/2x Charter,73.3,Exceeds Expectations,1132,53233
2018-19,8127_0400,Milwaukee Collegiate Academy,2r/2x Charter,64.2,Meets Expectations,320,53216
2018-19,8128_0800,Milwaukee Math and Science Academy,2r/2x Charter,74.8,Exceeds Expectations,294,53212
2018-19,8129_0100,Milwaukee Scholars Charter School,2r/2x Charter,73.1,Exceeds Expectations,724,53218
2018-19,8139_8139,Pathways High,2r/2x Charter,50.7,Fails to Meet Expectations,85,53212
2018-19,8138_8138,Penfield Montessori Academy,2r/2x Charter,NA,Alternate Rating - Needs Improvement,113,53205
2018-19,8002_8133,Rocketship Southside Community Prep,2r/2x Charter,73.9,Exceeds Expectations,493,53215
2018-19,0000_1253,Victory Christian Academy,Private,74.4,Exceeds Expectations,219,53219
2018-19,8002_8140,Rocketship Transformation Prep,2r/2x Charter,NA,Alternate Rating - Needs Improvement,79,53218
2018-19,8001_8121,Seeds of Health Elementary Program,2r/2x Charter,67.5,Meets Expectations,422,53215
2018-19,8001_8115,Tenor High,2r/2x Charter,88.3,Significantly Exceeds Expectations^,245,53202
2018-19,8001_8124,Veritas High,2r/2x Charter,77,Exceeds Expectations,252,53215
2018-19,8136_8136,Stellar Collegiate Charter School,2r/2x Charter,NA,Alternate Rating - Needs Improvement,148,53215
2018-19,8137_8137,United Community Center Acosta Middle School,2r/2x Charter,82,Exceeds Expectations^,168,53204
2018-19,8113_8728,Woodlands School,2r/2x Charter,79.8,Exceeds Expectations,352,53208
2018-19,8132_0100,Woodlands School - State Street Campus,2r/2x Charter,84.3,Significantly Exceeds Expectations,312,53208
2018-19,3619_0115,Lee Learning Center,Traditional Public,NA,NA,NA,53206
2018-19,3619_1141,Next Door Charter,Non-Instrumentality Charter,NA,NA,NA,53210
2018-19,3619_0149,Starms Early Childhood,Traditional Public,NA,NA,NA,53205
